url_id,title,ad_title,subtitle,description,price,model_year,km,seats,vehicle_model,length_variant,trim_family,fuel,drive,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,body_type,vehicle_class,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,owners,first_registered,warranty_text,warranty_months,warranty_km,color,place,postal_code,county,latitude,longitude,seller_name,updated_at_text,model_sample,relevant,is_electric,parse_source_core,parse_source_flags,raw_html_file,url,search_query,search_page,search_position,brand,model,search_price,page_title,total_price_text,price_ex_reg_text,reg_fee_text,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,weight_text,doors,luggage_text,country,eu_deadline,registration_number,sales_form,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,finn_county_code,finn_municipality_code,model_clean,length_for_msrp,trim_for_msrp,base_new_price,msrp_variant,source_id,seat_option_price,common_option_price,estimated_new_price,depreciation,depreciation_pct,msrp_assumption,source_url,source_note,ad_age_years,log_km,battery_kwh_model,battery_75,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,predicted_depreciation,predicted_price,depreciation_residual,price_residual,depreciation_residual_pct,student_residual,cooks_d,leverage,underpriced_rank
451015720,Citroen SpaceTourer,Citroen SpaceTourer,NA,NA,195000,2020,35000,9,Citroen ë-SpaceTourer,Ukjent,base,El,Forhjulsdrift,50,211,136,1000,Kasse,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,17.07.2020,NA,NA,NA,Sølv,Ski,1425,Akershus,59.71969589593153,10.835604896452368,NA,"30. april 2026, 23:58 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_451015720.html,https://www.finn.no/mobility/item/451015720,50kWh SpaceTourer,1,1,Citroen,SpaceTourer,195000,Bruktbil til salgs: Citroen SpaceTourer - 2020 - Sølv - 136 hk - Kasse | FINN.no,NA,190 468 kr,4 532 kr (avgifter),136 hk,35 000 km,NA,NA,Automat,1 000 kg,2 183 kg,5,NA,Norge,05.02.2028,ED97238,Bruktbil til salgs,2183,NA,NA,190468,50,0,20003,22104,SpaceTourer,M/L2,base,639900,PLUS L2 75 kWh,citroen_2026_pdf,0,0,639900,444900,0.6952648851383029,PLUS L2 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,6,10.463131911491967,50,FALSE,412438.18285023794,32461.817149762064,0.4851174946712614,65520.51539698514,0.06554054948274772,0.6978059343561605,412438.18285023794,227461.81714976206,32461.817149762064,-32461.817149762064,0.05072951578334437,0.6904646588734351,0.06554054948274772,0.4851174946712614,6
460885571,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,379900,2024,5,6,Citroen ë-SpaceTourer,Ukjent,high,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,24.06.2024,Nybilgaranti,38,120000,Hvit,Rud,NA,Akershus,59.909499,10.49477,Birger N. Haug AS avd. Rud,"22. april 2026, 10:39 Referanse P277925 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460885571.html,https://www.finn.no/mobility/item/460885571,75kWt SpaceTourer,1,4,Citroen,SpaceTourer,379900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,5 km,75 kWh,NA,Automat,1 000 kg,2 086 kg,5,603 L,Norge,NA,NA,Bruktbil til salgs,2086,603,NA,NA,75,0,20003,20045,SpaceTourer,M/L2,high,719900,MAX L2 75 kWh,citroen_2026_pdf,21350,0,741250,361350,0.4874873524451939,MAX L2 75 kWh; seter +21350 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,2,1.791759469228055,75,TRUE,339227.61662979395,22122.38337020605,0.5994103904981609,65782.2902788204,0.06213302425303698,0.5391355543367105,339227.61662979395,402022.38337020605,22122.38337020605,-22122.38337020605,0.02984469931899636,0.5313407007213163,0.06213302425303698,0.5994103904981609,9
460924816,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter Fantastisk familiebil | Leveringsklar,75kWt 6 seter Fantastisk familiebil | Leveringsklar,374900,2024,8,6,Citroen ë-SpaceTourer,Ukjent,base,El,Forhjulsdrift,75,315,136,NA,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,24.06.2024,Bruktbilgaranti,60,100000,Hvit,Lillestrøm,NA,Akershus,59.956725,11.034393,Birger N. Haug AS Lillestrøm,"11. mai 2026, 16:53 Referanse P277923 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460924816.html,https://www.finn.no/mobility/item/460924816,75kWt SpaceTourer,1,2,Citroen,SpaceTourer,374900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,8 km,75 kWh,NA,Automat,NA,NA,6,NA,Norge,NA,EC25582,Bruktbil til salgs,NA,NA,NA,NA,75,315,20003,22105,SpaceTourer,M/L2,base,639900,PLUS L2 75 kWh,citroen_2026_pdf,0,0,639900,265000,0.41412720737615255,PLUS L2 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,2,2.1972245773362196,75,TRUE,260625.51440255682,4374.485597443185,0.5246908360848621,66155.39521104582,0.0015105630056514664,0.09787117367132768,260625.51440255682,379274.4855974432,4374.485597443185,-4374.485597443185,0.00683620190255225,0.09591215057136288,0.0015105630056514664,0.5246908360848621,17
462489982,Citroen E-SpaceTourer,Citroen E-SpaceTourer,75kWt L2 Shine,75kWt L2 Shine,375000,2021,65000,8,Citroen ë-SpaceTourer,M/L2,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,29.12.2021,Nybilgaranti,NA,100000,Svart,Rud,1351,Akershus,59.90840046001003,10.493201785290369,Autoco Bærum AS,"5. mai 2026, 10:53 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462489982.html,https://www.finn.no/mobility/item/462489982,75kWt SpaceTourer,1,3,Citroen,E-SpaceTourer,375000,Bruktbil til salgs: Citroen E-SpaceTourer - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,370 468 kr,4 532 kr (avgifter),136 hk,65 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,29.12.2027,EC78339,Bruktbil til salgs,2065,603,NA,370468,75,0,20003,20045,E-SpaceTourer,M/L2,high,719900,MAX L2 75 kWh,citroen_2026_pdf,0,15000,734900,359900,0.48972649340046265,MAX L2 75 kWh; seter +0 kr; øvrige opsjoner +15000 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,5,11.082157933374816,75,TRUE,373542.9656725853,-13642.965672585298,0.28391391860800963,66086.18248781735,0.0035027371639997163,-0.2486806932421148,373542.9656725853,361357.0343274147,-13642.965672585298,13642.965672585298,-0.018564383824445908,-0.24395824750624698,0.0035027371639997163,0.28391391860800963,19
441656103,Citroen SpaceTourer,Citroen SpaceTourer,75kWt L3 Shine,75kWt L3 Shine,374434,2021,44000,8,Citroen ë-SpaceTourer,XL/L3,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,19.11.2021,Nybilgaranti,NA,NA,Grå,Hagan,1481,Akershus,59.997432057042005,10.917727178672298,NA,"6. mai 2026, 22:41 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_441656103.html,https://www.finn.no/mobility/item/441656103,75kWt SpaceTourer,1,1,Citroen,SpaceTourer,374434,Bruktbil til salgs: Citroen SpaceTourer - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,370 000 kr,4 434 kr (avgifter),136 hk,44 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,20.11.2027,ED39107,Bruktbil til salgs,2065,603,NA,370000,75,0,20003,20054,SpaceTourer,XL/L3,high,749900,MAX L3 75 kWh,citroen_2026_pdf,0,0,749900,375466,0.500688091745566,MAX L3 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,5,10.691967639914864,75,TRUE,393213.2144825494,-17747.214482549403,0.3135452392623735,66023.4508417406,0.007123124295585435,-0.33040007443449926,393213.2144825494,356686.7855174506,-17747.214482549403,17747.214482549403,-0.023666108124482468,-0.3244337433341639,0.007123124295585435,0.3135452392623735,20
463485562,Citroen SpaceTourer,Citroen SpaceTourer,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,779000,2026,5000,9,Citroen ë-SpaceTourer,XL/L3,high,El,Forhjulsdrift,75,340,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,08.05.2026,Nybilgaranti,59,100000,Svart,Oslo,NA,Oslo,59.916098,10.790484,Mobile Oslo AS,"13. mai 2026, 16:07 Referanse VF7VSZKU8TZ033448 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463485562.html,https://www.finn.no/mobility/item/463485562,75kWt SpaceTourer,1,5,Citroen,SpaceTourer,779000,Bruktbil til salgs: Citroen SpaceTourer - 2026 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,771 495 kr,7 505 kr (avgifter),136 hk,5 000 km,NA,NA,Automat,1 000 kg,2 332 kg,5,980 L,Norge,08.05.2030,DS39230,Bruktbil til salgs,2332,980,NA,771495,75,340,20061,20456,SpaceTourer,XL/L3,high,749900,MAX L3 75 kWh,citroen_2026_pdf,4912,15000,769812,-9188,-0.011935381625643664,MAX L3 75 kWh; seter +4912 kr; øvrige opsjoner +15000 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,0,8.517393171418904,75,TRUE,18380.505962276424,-27568.505962276424,0.634129601223959,65510.759963954944,0.1223724623527821,-0.7030164593598769,18380.505962276424,751431.4940377236,-27568.505962276424,27568.505962276366,-0.03581199820511557,-0.6957239537140204,0.1223724623527821,0.634129601223959,23
