url_id,title,ad_title,subtitle,description,price,model_year,km,seats,vehicle_model,length_variant,trim,fuel,drive,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,body_type,vehicle_class,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,owners,first_registered,warranty_text,warranty_months,warranty_km,color,place,postal_code,county,latitude,longitude,seller_name,updated_at_text,model_sample,relevant,is_electric,parse_source_core,parse_source_flags,raw_html_file,url,search_query,search_page,search_position,brand,model,search_price,page_title,total_price_text,price_ex_reg_text,reg_fee_text,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,weight_text,doors,luggage_text,country,eu_deadline,registration_number,sales_form,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,finn_county_code,finn_municipality_code,model_clean
459060409,Opel Zafira,Opel Zafira,Elegance L3 50kWh 136hk,Elegance L3 50kWh 136hk,319532,2021,56660,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,50,230,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,15.12.2020,NA,NA,NA,Svart,Sandnes,4324,Agder,58.81642666884743,5.751628554301968,NA,"5. mai 2026, 13:06 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459060409.html,https://www.finn.no/mobility/item/459060409,Opel Zafira e-Life,1,5,Opel,Zafira,319532,Bruktbil til salgs: Opel Zafira - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,315 000 kr,4 532 kr (avgifter),136 hk,56 660 km,50 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,17.06.2027,EE12612,Bruktbil til salgs,2092,980,NA,315000,50,660,20012,20195,Zafira
460970224,Opel Zafira,Opel Zafira,Elegance L2 75kWh 136hk,Elegance L2 75kWh 136hk,399000,2022,44800,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,329,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,28.11.2022,Nybilgaranti,60,100000,Grå,Volda,6102,Møre og Romsdal/Vestland,62.150502794654514,6.065592636373951,NA,"12. mai 2026, 11:43 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460970224.html,https://www.finn.no/mobility/item/460970224,Opel Zafira e-Life,1,8,Opel,Zafira,399000,Bruktbil til salgs: Opel Zafira - 2022 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,394 468 kr,4 532 kr (avgifter),136 hk,44 800 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,550 L,Norge,28.11.2026,EE78998,Bruktbil til salgs,2065,550,NA,394468,75,800,20015,20288,Zafira
463476333,Opel Zafira,Opel Zafira,LIFE/75kWh/L3/BUSINESS/9-SETER/CRUISE/R.KAM/XENON/NAVI,LIFE/75kWh/L3/BUSINESS/9-SETER/CRUISE/R.KAM/XENON/NAVI,429900,2023,39520,9,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,68,312,136,1000,Annet,Personbil,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,31.03.2023,Nybilgaranti,22,100000,Hvit,Steinkjer,NA,NA,64.007125,11.494524,Slatlem Steinkjer AS,"13. mai 2026, 14:34 Referanse 86370e99-746d-451a-8818-23d0a6076de2 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463476333.html,https://www.finn.no/mobility/item/463476333,Opel Zafira e-Life,1,9,Opel,Zafira,429900,Bruktbil til salgs: Opel Zafira - 2023 - Hvit - 136 hk - Annet | FINN.no,NA,422 395 kr,7 505 kr (avgifter),136 hk,39 520 km,68 kWh,NA,Automat,1 000 kg,2 086 kg,6,NA,Norge,NA,EF66815,Bruktbil til salgs,2086,NA,NA,422395,75,520,20016,20343,Zafira
450759876,Opel Zafira,Opel Zafira,NORSK GS L3 75KWH 8 SETER ACC CARPLAY MYOPEL APP KAMERA,NORSK GS L3 75KWH 8 SETER ACC CARPLAY MYOPEL APP KAMERA,599000,2025,5350,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,04.06.2025,Nybilgaranti,49,NA,Svart,Stavanger,NA,NA,58.904326,5.693391,Sven Kvia AS,"1. mai 2026, 19:43 Referanse S5776 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_450759876.html,https://www.finn.no/mobility/item/450759876,Opel Zafira e-Life,1,10,Opel,Zafira,599000,Bruktbil til salgs: Opel Zafira - 2025 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,591 495 kr,7 505 kr (avgifter),136 hk,5 350 km,75 kWh,NA,Automat,1 000 kg,2 303 kg,5,980 L,Norge,NA,EN66914,Bruktbil til salgs,2303,980,NA,591495,75,350,20012,20196,Zafira
459723398,Peugeot e-Traveller,Peugeot e-Traveller,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,329900,2021,105000,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,18.10.2021,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Grå,Jessheim,2050,Akershus,60.13836310969308,11.166250045170658,Car4Sale AS,"12. mai 2026, 12:24 Referanse 13585 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459723398.html,https://www.finn.no/mobility/item/459723398,Peugeot e-Traveller,1,3,Peugeot,e-Traveller,329900,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,325 368 kr,4 532 kr (avgifter),136 hk,105 000 km,75 kWh,NA,Automat,1 000 kg,2 327 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2327,NA,NA,325368,75,330,20003,20056,e-Traveller
460798037,Peugeot e-Traveller,Peugeot e-Traveller,L2 Allure 75kWt,L2 Allure 75kWt,339532,2021,74000,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,10.06.2021,Nybilgaranti,1,100000,Svart,Ålesund,6006,Møre og Romsdal/Vestland,62.465498273865634,6.113798689248467,NA,"13. mai 2026, 13:51 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460798037.html,https://www.finn.no/mobility/item/460798037,Peugeot e-Traveller,1,4,Peugeot,e-Traveller,339532,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,335 000 kr,4 532 kr (avgifter),136 hk,74 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,10.06.2027,EC58941,Bruktbil til salgs,2065,603,NA,335000,75,0,20015,20282,e-Traveller
458788597,Peugeot e-Traveller,Peugeot e-Traveller,L2 Allure 75kWt,L2 Allure 75kWt,339532,2021,135000,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,24.02.2021,NA,NA,NA,Grå,Sandstad,7246,Trøndelag/Nordland,63.48420020046555,8.84470505183124,NA,"5. mai 2026, 22:56 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_458788597.html,https://www.finn.no/mobility/item/458788597,Peugeot e-Traveller,1,5,Peugeot,e-Traveller,339532,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,335 000 kr,4 532 kr (avgifter),136 hk,135 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,24.02.2027,EC32142,Bruktbil til salgs,2065,603,NA,335000,75,0,20016,20321,e-Traveller
463472940,Peugeot e-Traveller,Peugeot e-Traveller,Allure / 7-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,Allure / 7-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,349000,2021,70000,7,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,68,302,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,24.03.2021,NA,NA,NA,Brun,Sarpsborg,NA,NA,59.28581,11.081107,Bertel O. Steen Sarpsborg,"13. mai 2026, 14:01 Referanse 5211ff2a-1e26-4647-a86b-98c75762263a Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463472940.html,https://www.finn.no/mobility/item/463472940,Peugeot e-Traveller,1,6,Peugeot,e-Traveller,349000,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Brun - 136 hk - Flerbruksbil | FINN.no,NA,344 468 kr,4 532 kr (avgifter),136 hk,70 000 km,68 kWh,NA,Automat,1 000 kg,2 314 kg,6,2 381 L,Norge,NA,EC33852,Bruktbil til salgs,2314,2381,NA,344468,75,0,20002,20023,e-Traveller
463471877,Peugeot e-Traveller,Peugeot e-Traveller,Allure / 8-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,Allure / 8-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,349000,2021,63900,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,68,311,136,1000,Flerbruksbil,Personbil,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,10.05.2021,NA,NA,NA,Grå,Sarpsborg,NA,NA,59.28581,11.081107,Bertel O. Steen Sarpsborg,"13. mai 2026, 14:41 Referanse e7a20148-0fa8-4f9c-879a-15e1cfac1be3 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463471877.html,https://www.finn.no/mobility/item/463471877,Peugeot e-Traveller,1,7,Peugeot,e-Traveller,349000,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,344 468 kr,4 532 kr (avgifter),136 hk,63 900 km,68 kWh,NA,Automat,1 000 kg,2 092 kg,6,2 381 L,Norge,NA,EC49592,Bruktbil til salgs,2092,2381,NA,344468,75,900,20002,20023,e-Traveller
462879973,Peugeot e-Traveller,Peugeot e-Traveller,75 kWh L3 8 seter BIS | SKINN| EL.DØRER|,75 kWh L3 8 seter BIS | SKINN| EL.DØRER|,349000,2021,79800,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,350,0,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,13.09.2021,Bruktbilgaranti,3,3000,Grå,Rissa,NA,NA,63.582549,9.954368,Leira Bil AS / Sannan Bil AS,"8. mai 2026, 16:37 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462879973.html,https://www.finn.no/mobility/item/462879973,Peugeot e-Traveller,1,8,Peugeot,e-Traveller,349000,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - Flerbruksbil | FINN.no,NA,344 468 kr,4 532 kr (avgifter),0 hk,79 800 km,75 kWh,NA,Automat,1 000 kg,2 322 kg,5,703 L,Norge,NA,EC29237,Bruktbil til salgs,2322,703,NA,344468,75,800,20016,20325,e-Traveller
