url,page_title,ad_title,subtitle,url_id,total_price_text,price_ex_reg_text,reg_fee_text,model_year,body_type,fuel,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,drive,weight_text,seats,doors,luggage_text,color,country,eu_deadline,vehicle_class,registration_number,first_registered,owners,warranty_text,warranty_months,warranty_km,sales_form,km,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,length_variant,trim,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,latitude,longitude,postal_code,place,seller_name,updated_at_text,finn_county_code,finn_municipality_code,county,raw_html_file
https://www.finn.no/mobility/item/451015720,Bruktbil til salgs: Citroen SpaceTourer - 2020 - Sølv - 136 hk - Kasse | FINN.no,Citroen SpaceTourer,NA,451015720,NA,190 468 kr,4 532 kr (avgifter),2020,Kasse,El,136 hk,35 000 km,NA,NA,Automat,1 000 kg,Forhjulsdrift,2 183 kg,9,5,NA,Sølv,Norge,05.02.2028,Personbil,ED97238,17.07.2020,NA,NA,NA,NA,Bruktbil til salgs,35000,50,211,136,1000,2183,NA,NA,190468,50,0,XL/L3,Plus,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,59.71969589593153,10.835604896452368,1425,Ski,NA,"30. april 2026, 23:58 Del annonsen Rapporter annonse",20003,22104,Akershus,data/raw/html/item_451015720.html
https://www.finn.no/mobility/item/441656103,Bruktbil til salgs: Citroen SpaceTourer - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,Citroen SpaceTourer,75kWt L3 Shine,441656103,NA,370 000 kr,4 434 kr (avgifter),2021,Flerbruksbil,El,136 hk,44 000 km,75 kWh,NA,Automat,1 000 kg,Forhjulsdrift,2 065 kg,8,5,603 L,Grå,Norge,20.11.2027,Personbil,ED39107,19.11.2021,2,Nybilgaranti,NA,NA,Bruktbil til salgs,44000,75,330,136,1000,2065,603,NA,370000,75,0,XL/L3,Plus,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,59.997432057042005,10.917727178672298,1481,Hagan,NA,"6. mai 2026, 22:41 Del annonsen Rapporter annonse",20003,20054,Akershus,data/raw/html/item_441656103.html
https://www.finn.no/mobility/item/460924816,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,Citroen SpaceTourer,75kWt 6 seter Fantastisk familiebil | Leveringsklar,460924816,NA,NA,Fritatt (avgifter),2024,Flerbruksbil,El,136 hk,8 km,75 kWh,NA,Automat,NA,Forhjulsdrift,NA,6,6,NA,Hvit,Norge,NA,Personbil,EC25582,24.06.2024,NA,Bruktbilgaranti,60,100000,Bruktbil til salgs,8,75,315,136,NA,NA,NA,NA,NA,75,315,XL/L3,Plus,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,59.956725,11.034393,NA,Lillestrøm,Birger N. Haug AS Lillestrøm,"11. mai 2026, 16:53 Referanse P277923 Del annonsen Rapporter annonse",20003,22105,Akershus,data/raw/html/item_460924816.html
https://www.finn.no/mobility/item/462489982,Bruktbil til salgs: Citroen E-SpaceTourer - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,Citroen E-SpaceTourer,75kWt L2 Shine,462489982,NA,370 468 kr,4 532 kr (avgifter),2021,Flerbruksbil,El,136 hk,65 000 km,75 kWh,NA,Automat,1 000 kg,Forhjulsdrift,2 065 kg,8,5,603 L,Svart,Norge,29.12.2027,Personbil,EC78339,29.12.2021,2,Nybilgaranti,NA,100000,Bruktbil til salgs,65000,75,330,136,1000,2065,603,NA,370468,75,0,XL/L3,Plus,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,59.908400460010036,10.493201785290369,1351,Rud,Autoco Bærum AS,"5. mai 2026, 10:53 Del annonsen Rapporter annonse",20003,20045,Akershus,data/raw/html/item_462489982.html
https://www.finn.no/mobility/item/460885571,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,460885571,NA,NA,Fritatt (avgifter),2024,Flerbruksbil,El,136 hk,5 km,75 kWh,NA,Automat,1 000 kg,Forhjulsdrift,2 086 kg,6,5,603 L,Hvit,Norge,NA,Personbil,NA,24.06.2024,NA,Nybilgaranti,38,120000,Bruktbil til salgs,5,75,350,136,1000,2086,603,NA,NA,75,0,XL/L3,Plus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,59.909499,10.49477,NA,Rud,Birger N. Haug AS avd. Rud,"22. april 2026, 10:39 Referanse P277925 Del annonsen Rapporter annonse",20003,20045,Akershus,data/raw/html/item_460885571.html
https://www.finn.no/mobility/item/463485562,Bruktbil til salgs: Citroen SpaceTourer - 2026 - Svart - 136 hk - Flerbruksbil | FINN.no,Citroen SpaceTourer,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,463485562,NA,771 495 kr,7 505 kr (avgifter),2026,Flerbruksbil,El,136 hk,5 000 km,NA,NA,Automat,1 000 kg,Forhjulsdrift,2 332 kg,9,5,980 L,Svart,Norge,08.05.2030,Personbil,DS39230,08.05.2026,NA,Nybilgaranti,59,100000,Bruktbil til salgs,5000,75,340,136,1000,2332,980,NA,771495,75,340,XL/L3,Plus,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,59.916098,10.790484,NA,Oslo,Mobile Oslo AS,"13. mai 2026, 16:07 Referanse VF7VSZKU8TZ033448 Del annonsen Rapporter annonse",20061,20456,Oslo,data/raw/html/item_463485562.html
https://www.finn.no/mobility/item/460131170,Bruktbil til salgs: Citroen C4 - 2019 - Hvit - 131 hk - Flerbruksbil | FINN.no,Citroen C4,Puretech 131hk AT | Navi | Ryggekamera | EU 05/27,460131170,NA,135 368 kr,4 532 kr (avgifter),2019,Flerbruksbil,Bensin,131 hk,107 849 km,NA,NA,Automat,1 300 kg,Forhjulsdrift,1 399 kg,7,5,NA,Hvit,Norge,NA,Personbil,BT95634,20.05.2019,2,Outlet (ingen garanti),NA,NA,Bruktbil til salgs,107849,NA,849,131,1300,1399,NA,NA,135368,NA,849,XL/L3,Plus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,59.397404,5.334735,NA,Haugesund,Bil-Kompaniet Haugesund,"16. april 2026, 14:32 Referanse 3466 Del annonsen Rapporter annonse",20012,20197,NA,data/raw/html/item_460131170.html
https://www.finn.no/mobility/item/453730792,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Hvit - 130 hk - Flerbruksbil | FINN.no,Citroen Grand C4 Spacetourer,BlueHDI 130 Shine aut - 7 SETER - TOPPMODELL,453730792,NA,170 368 kr,4 532 kr (avgifter),2019,Flerbruksbil,Diesel,130 hk,128 000 km,NA,NA,Automat,1 500 kg,Forhjulsdrift,1 430 kg,7,5,170 L,Hvit,Norge,07.01.2027,Personbil,AS59543,16.03.2019,NA,Bruktbilgaranti,3,3000,Bruktbil til salgs,128000,NA,0,130,1500,1430,170,NA,170368,NA,0,XL/L3,Plus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,59.288482,11.089453,NA,Sarpsborg,Mobile Sarpsborg AS,"22. april 2026, 15:05 Referanse VF73AYHZRJJ852208 Del annonsen Rapporter annonse",20002,20023,NA,data/raw/html/item_453730792.html
https://www.finn.no/mobility/item/460763516,Bruktbil til salgs: Citroen C4 - 2020 - Grå - 131 hk - Flerbruksbil | FINN.no,Citroen C4,131HK Aut Pano R.kam Massasje Lav km 360° ACC / Carplay,460763516,NA,194 468 kr,4 532 kr (avgifter),2020,Flerbruksbil,Diesel,131 hk,63 500 km,NA,NA,Manuell,1 700 kg,Forhjulsdrift,1 402 kg,5,5,NA,Grå,Norge,NA,Personbil,NA,03.07.2020,NA,Bruktbilgaranti 50/50,3,3000,Bruktbil til salgs,63500,NA,500,131,1700,1402,NA,NA,194468,NA,500,XL/L3,Plus,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,60.559524,5.264894,NA,Isdalstø,Vest Motor AS,"11. mai 2026, 09:33 Referanse 3622 Del annonsen Rapporter annonse",22046,22109,NA,data/raw/html/item_460763516.html
https://www.finn.no/mobility/item/462533291,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Blå - 130 hk - Flerbruksbil | FINN.no,Citroen Grand C4 Spacetourer,PureTech 130 Shine Pack aut,462533291,NA,224 468 kr,4 532 kr (avgifter),2019,Flerbruksbil,Bensin,130 hk,98 500 km,NA,NA,Automat,NA,Forhjulsdrift,1 399 kg,7,5,130 L,Blå,Norge,07.02.2026,Personbil,BU15063,07.02.2020,NA,Bruktbilgaranti,6,6000,Bruktbil til salgs,98500,NA,500,130,NA,1399,130,NA,224468,NA,500,XL/L3,Plus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,66.30700304820942,14.13220905664669,8624,Mo i Rana,Bilalliansen AS,"5. mai 2026, 17:00 Referanse VF73AHNSRKJ733734 Del annonsen Rapporter annonse",20018,20383,Nordland,data/raw/html/item_462533291.html
